shock_type,intensity,structure,tau,K,seed,initial_fitness,final_fitness,improvement
poisson,0.333,Hy,0.5,5,10,0.48009537869525765,0.5766546460947723,0.0965592673995147
poisson,0.333,Hy,0.5,10,1,0.618013202364466,0.7155683386411522,0.09755513627668622
poisson,0.333,Hy,0.5,10,2,0.4527554821421852,0.6910174103391918,0.23826192819700664
poisson,0.333,Hy,0.5,10,3,0.3545417328075671,0.6469843384243096,0.29244260561674246
poisson,0.333,Hy,0.5,10,4,0.4636924255311224,0.6358229316529869,0.17213050612186448
poisson,0.333,Hy,0.5,10,5,0.5641422075563683,0.7886922612827518,0.22455005372638348
poisson,0.333,Hy,0.5,10,6,0.5807098561945576,0.6865015572037004,0.10579170100914281
poisson,0.333,Hy,0.5,10,7,0.40839902039210796,0.7068805076358434,0.29848148724373547
poisson,0.333,Hy,0.5,10,8,0.529444188088723,0.5615127991176552,0.032068611028932215
poisson,0.333,Hy,0.5,10,9,0.4615254061813793,0.6298719729005052,0.1683465667191259
