structure,tau,K,seed,shock_every,initial_fitness,final_fitness,bank
H,0.2,2,9,40,0.4684465435661087,0.5806392428176669,A
H,0.2,2,10,40,0.5851126212222327,0.6831203968458933,A
H,0.2,5,1,40,0.6535003635378094,0.6384825456076108,A
H,0.2,5,2,40,0.597138442858201,0.4733214309713677,A
H,0.2,5,3,40,0.4352024762249401,0.6551886353646865,A
H,0.2,5,4,40,0.5372250818434184,0.51106301145184,A
H,0.2,5,5,40,0.462015043179432,0.575137583835345,A
H,0.2,5,6,40,0.6011966031989395,0.6568158843995121,A
H,0.2,5,7,40,0.4334237154369677,0.7892734930196353,A
H,0.2,5,8,40,0.5303609576762542,0.6541933340420218,A
H,0.2,5,9,40,0.4999097327328109,0.5798438205271512,A
H,0.2,5,10,40,0.5315173667901719,0.5666553241728286,A
H,0.2,10,1,40,0.47631666840481307,0.649853983882935,A
H,0.2,10,2,40,0.5079383983128676,0.6658995705089841,A
H,0.2,10,3,40,0.5152690385182782,0.6844676683095631,A
H,0.2,10,4,40,0.5154985702855861,0.722412782485257,A
H,0.2,10,5,40,0.5411967955424364,0.5234787568284106,A
H,0.2,10,6,40,0.6374758966663445,0.5830039426000083,A
H,0.2,10,7,40,0.5924694118251872,0.7152045222988338,A
H,0.2,10,8,40,0.5139696431223341,0.4798072032468132,A
H,0.2,10,9,40,0.5597540104024573,0.5302103524541933,A
H,0.2,10,10,40,0.5291466437873577,0.4327531158789969,A
H,0.5,2,1,40,0.5360005139942946,0.7252683314324339,A
H,0.5,2,2,40,0.4318949656869266,0.639338194722627,A
H,0.5,2,3,40,0.4771709982760742,0.6623044380357961,A
H,0.5,2,4,40,0.5374321897714059,0.6964206176364586,A
H,0.5,2,5,40,0.37499306742820776,0.5755976565370584,A
H,0.5,2,6,40,0.4788425169153469,0.6720715907389996,A
H,0.5,2,7,40,0.5659190896472036,0.5386773582121502,A
H,0.5,2,8,40,0.49779901816521516,0.6918215355522996,A
H,0.5,2,9,40,0.48170346879998965,0.7018457604355376,A
