structure,tau,K,seed,initial_fitness,final_fitness,peak_fitness,improvement,steps_to_95pct,N,n_agents,T
V,0.2,2,18,0.5477497695141271,0.6812501788614961,0.6812501788614961,0.13350040934736895,6,15,30,40
V,0.2,2,19,0.47987606114774745,0.6932056446700353,0.6932056446700353,0.21332958352228787,8,15,30,40
V,0.2,2,20,0.43673667095774094,0.6018769476731907,0.6018769476731907,0.16514027671544973,5,15,30,40
V,0.2,2,21,0.6146903250760202,0.7427883326908842,0.7427883326908842,0.128098007614864,3,15,30,40
V,0.2,2,22,0.4685075075585121,0.7237171174969225,0.7237171174969225,0.25520960993841035,4,15,30,40
V,0.2,2,23,0.5500308572709075,0.7680571810966691,0.7680571810966691,0.2180263238257616,6,15,30,40
V,0.2,2,24,0.5439460500532589,0.6348044795586615,0.6348044795586615,0.09085842950540257,4,15,30,40
V,0.2,2,25,0.4898587959169365,0.6999594698184904,0.6999594698184904,0.21010067390155396,5,15,30,40
V,0.2,2,26,0.44885593959281356,0.6841250124195429,0.6841250124195429,0.23526907282672938,7,15,30,40
V,0.2,2,27,0.6980292288296684,0.7425380806683937,0.7425380806683937,0.044508851838725216,3,15,30,40
V,0.2,2,28,0.6175713702809102,0.7795187966971221,0.7795187966971221,0.16194742641621185,4,15,30,40
V,0.2,2,29,0.4532154185597717,0.6262803307992063,0.6262803307992063,0.1730649122394346,5,15,30,40
V,0.2,2,30,0.38314613897194255,0.7232350538019008,0.7232350538019008,0.34008891482995823,7,15,30,40
V,0.2,2,31,0.5151338258201349,0.7374272017684509,0.7374272017684509,0.222293375948316,4,15,30,40
V,0.2,2,32,0.47677956787076053,0.7180222987847205,0.7180222987847205,0.24124273091395992,3,15,30,40
V,0.2,2,33,0.5179684958893241,0.6394157241702809,0.6394157241702809,0.12144722828095678,4,15,30,40
V,0.2,2,34,0.43169149575546756,0.6700214690744827,0.6700214690744827,0.23832997331901512,6,15,30,40
V,0.2,2,35,0.41804169414314674,0.7377031565957025,0.7377031565957025,0.3196614624525558,5,15,30,40
V,0.2,2,36,0.49002387394174746,0.671581492166167,0.671581492166167,0.18155761822441957,6,15,30,40
V,0.2,2,37,0.4476737387841079,0.693778380722449,0.693778380722449,0.24610464193834114,8,15,30,40
V,0.2,2,38,0.4597640483172853,0.6814592147811143,0.6814592147811143,0.22169516646382897,9,15,30,40
V,0.2,2,39,0.608945203391576,0.725830461397098,0.725830461397098,0.11688525800552196,4,15,30,40
V,0.2,2,40,0.4928005933931738,0.6721358490148712,0.6721358490148712,0.17933525562169744,6,15,30,40
V,0.2,5,1,0.4254395976132425,0.7515863258674046,0.7515863258674046,0.3261467282541621,6,15,30,40
V,0.2,5,2,0.589146478953961,0.723509803250431,0.723509803250431,0.13436332429647002,2,15,30,40
V,0.2,5,3,0.44942423743482873,0.6501216449055852,0.6501216449055852,0.20069740747075648,3,15,30,40
V,0.2,5,4,0.5345691335806357,0.7162409264876394,0.7162409264876394,0.18167179290700364,6,15,30,40
V,0.2,5,5,0.37063644125407436,0.7112799480507446,0.7112799480507446,0.3406435067966702,7,15,30,40
V,0.2,5,6,0.5226861945002731,0.6526314693529595,0.6526314693529595,0.12994527485268637,2,15,30,40
V,0.2,5,7,0.6169835518475781,0.7388672890030864,0.7388672890030864,0.12188373715550826,3,15,30,40
V,0.2,5,8,0.5169146313825309,0.6758351977945648,0.6758351977945648,0.1589205664120339,3,15,30,40
V,0.2,5,9,0.5288215940527426,0.6567188972378997,0.6567188972378997,0.12789730318515702,2,15,30,40
V,0.2,5,10,0.5290474220132074,0.7559647966282127,0.7559647966282127,0.22691737461500527,3,15,30,40
V,0.2,5,11,0.43879419705116096,0.6326887143433043,0.6326887143433043,0.19389451729214335,2,15,30,40
V,0.2,5,12,0.533683250361392,0.6821745027051624,0.6821745027051624,0.14849125234377047,2,15,30,40
V,0.2,5,13,0.46490179430353323,0.6943894306707328,0.6943894306707328,0.22948763636719954,3,15,30,40
V,0.2,5,14,0.42266408606447586,0.7099547877244441,0.7099547877244441,0.28729070165996823,4,15,30,40
V,0.2,5,15,0.6162652465680593,0.7628377800557388,0.7628377800557388,0.1465725334876795,2,15,30,40
V,0.2,5,16,0.5270382826728505,0.6803836374582917,0.6803836374582917,0.1533453547854412,3,15,30,40
V,0.2,5,17,0.4588748777589639,0.7399221698624637,0.7399221698624637,0.2810472921034998,3,15,30,40
V,0.2,5,18,0.4943821514847703,0.696624815291326,0.696624815291326,0.2022426638065557,4,15,30,40
V,0.2,5,19,0.5630895505943526,0.7773898506136178,0.7773898506136178,0.21430030001926514,5,15,30,40
V,0.2,5,20,0.36914153689918555,0.6575173547033387,0.6575173547033387,0.28837581780415317,5,15,30,40
V,0.2,5,21,0.6036451868685242,0.7528397039534374,0.7528397039534374,0.14919451708491316,2,15,30,40
V,0.2,5,22,0.6145830813350711,0.7010750878001626,0.7010750878001626,0.08649200646509148,1,15,30,40
V,0.2,5,23,0.4381005969169902,0.7279299210682585,0.7279299210682585,0.2898293241512683,4,15,30,40
V,0.2,5,24,0.4399319468162965,0.7554795310359534,0.7554795310359534,0.31554758421965695,3,15,30,40
V,0.2,5,25,0.6146438225721117,0.6728222799072847,0.6728222799072847,0.05817845733517302,2,15,30,40
V,0.2,5,26,0.5493925063287268,0.7393869885562386,0.7393869885562386,0.1899944822275118,4,15,30,40
V,0.2,5,27,0.4918691584265196,0.7219682548869543,0.7219682548869543,0.23009909646043464,2,15,30,40
V,0.2,5,28,0.44556093367620925,0.7342927550755773,0.7342927550755773,0.2887318213993681,5,15,30,40
