structure,tau,K,seed,initial_fitness,final_fitness,peak_fitness,improvement,steps_to_95pct,N,n_agents,T,fragmentation_cost,sweep,n_agents_setting
V,0.2,10,5,0.465391675055556,0.6091001758348854,0.6091001758348854,0.1437085007793294,1,15,30,40,0.1,fragmentation_cost,
V,0.2,10,6,0.3549680392360858,0.6693136862710405,0.6693136862710405,0.3143456470349547,2,15,30,40,0.1,fragmentation_cost,
V,0.2,10,7,0.500061960693746,0.6514897946880519,0.6514897946880519,0.15142783399430593,2,15,30,40,0.1,fragmentation_cost,
V,0.2,10,8,0.5731351586872101,0.6999730999618214,0.6999730999618214,0.12683794127461134,2,15,30,40,0.1,fragmentation_cost,
V,0.2,10,9,0.5221326482183075,0.681012601875545,0.681012601875545,0.1588799536572375,2,15,30,40,0.1,fragmentation_cost,
V,0.2,10,10,0.5326571960286279,0.7215829160142714,0.7215829160142714,0.18892571998564345,3,15,30,40,0.1,fragmentation_cost,
V,0.2,10,11,0.48463284632050174,0.5782469927381586,0.5782469927381586,0.09361414641765686,1,15,30,40,0.1,fragmentation_cost,
V,0.2,10,12,0.5845492921474736,0.6843768516319872,0.6843768516319872,0.0998275594845136,1,15,30,40,0.1,fragmentation_cost,
V,0.2,10,13,0.4458578997880018,0.6661621861385189,0.6661621861385189,0.22030428635051708,2,15,30,40,0.1,fragmentation_cost,
V,0.2,10,14,0.45264382789621843,0.7207595489517115,0.7207595489517115,0.26811572105549303,2,15,30,40,0.1,fragmentation_cost,
V,0.2,10,15,0.591754472943818,0.6519319710645015,0.6519319710645015,0.060177498120683515,2,15,30,40,0.1,fragmentation_cost,
V,0.2,10,16,0.48838119323422885,0.6574561637578252,0.6574561637578252,0.16907497052359638,2,15,30,40,0.1,fragmentation_cost,
V,0.2,10,17,0.4603485367497419,0.6344123612453842,0.6344123612453842,0.17406382449564234,2,15,30,40,0.1,fragmentation_cost,
V,0.2,10,18,0.5496982598279786,0.6832293380344793,0.6832293380344793,0.13353107820650068,2,15,30,40,0.1,fragmentation_cost,
V,0.2,10,19,0.48070578395320107,0.629006824827182,0.629006824827182,0.14830104087398088,1,15,30,40,0.1,fragmentation_cost,
V,0.2,10,20,0.482983135813674,0.7506453280303546,0.7506453280303546,0.26766219221668053,5,15,30,40,0.1,fragmentation_cost,
V,0.3,2,1,0.6047877979841517,0.6606505589980328,0.6606505589980328,0.0558627610138811,2,15,30,40,0.1,fragmentation_cost,
