structure,tau,K,seed,initial_fitness,final_fitness,peak_fitness,improvement,N,n_agents,T,shock_every,reshuffle_frac
V,0.3,5,20,0.6021281705634111,0.6624280816551594,0.7214025748571344,0.06029991109174837,15,30,40,10,0.25
V,0.3,10,1,0.48305276947881065,0.6877090107432097,0.735024146108355,0.20465624126439902,15,30,40,10,0.25
V,0.3,10,2,0.35686067131047133,0.7671986360429452,0.7671986360429452,0.4103379647324739,15,30,40,10,0.25
V,0.3,10,3,0.39712860146756795,0.6735366127064152,0.7645132174311907,0.27640801123884723,15,30,40,10,0.25
V,0.3,10,4,0.4655289543421552,0.6356727652847063,0.6868470949232285,0.1701438109425511,15,30,40,10,0.25
V,0.3,10,5,0.5385249177058891,0.6413383824175224,0.661088428711693,0.10281346471163333,15,30,40,10,0.25
V,0.3,10,6,0.48153622857000944,0.7260764996458156,0.7260764996458156,0.24454027107580611,15,30,40,10,0.25
V,0.3,10,7,0.4931645522805232,0.6826121228948652,0.7012312802237246,0.18944757061434198,15,30,40,10,0.25
V,0.3,10,8,0.5623300820133643,0.7133669243304606,0.7506289777957666,0.15103684231709624,15,30,40,10,0.25
V,0.3,10,9,0.5277173380905322,0.6228686686780598,0.716767517720844,0.09515133058752756,15,30,40,10,0.25
V,0.3,10,10,0.40034602691953425,0.6800060086620748,0.760179405901115,0.2796599817425406,15,30,40,10,0.25
V,0.3,10,11,0.5145204213722407,0.6606966649048284,0.7546990664817621,0.14617624353258762,15,30,40,10,0.25
V,0.3,10,12,0.49678931195440756,0.5989829574756679,0.7082266705630822,0.10219364552126031,15,30,40,10,0.25
V,0.3,10,13,0.4491609054405002,0.622206825946847,0.6689991481520916,0.17304592050634676,15,30,40,10,0.25
V,0.3,10,14,0.44982673572400594,0.6762789718014732,0.6959807085120782,0.22645223607746728,15,30,40,10,0.25
V,0.3,10,15,0.6027145477731162,0.6854131455194269,0.7248751833700688,0.08269859774631072,15,30,40,10,0.25
V,0.3,10,16,0.5816952796441279,0.6164140235240793,0.7294069480925954,0.03471874387995133,15,30,40,10,0.25
V,0.3,10,17,0.523302579289673,0.6216803569748202,0.7189122871374632,0.0983777776851471,15,30,40,10,0.25
V,0.3,10,18,0.3481280847946256,0.7156335320500294,0.7156335320500294,0.36750544725540385,15,30,40,10,0.25
V,0.3,10,19,0.5611107485338969,0.7273273706391269,0.7273273706391269,0.16621662210523003,15,30,40,10,0.25
V,0.3,10,20,0.4832534549878879,0.6603127446405205,0.7060962791807887,0.17705928965263257,15,30,40,10,0.25
V,0.4,2,1,0.4916508186378067,0.643944092525875,0.7410915389801622,0.15229327388806835,15,30,40,10,0.25
V,0.4,2,2,0.39085166102553953,0.7045353726964684,0.706395515156233,0.31368371167092884,15,30,40,10,0.25
V,0.4,2,3,0.595199500591132,0.784814793254078,0.7938241978007298,0.18961529266294597,15,30,40,10,0.25
V,0.4,2,4,0.4805205696745247,0.6693274150467072,0.7095790883948079,0.1888068453721825,15,30,40,10,0.25
V,0.4,2,5,0.40237068729490494,0.7586453103341706,0.7586453103341706,0.35627462303926566,15,30,40,10,0.25
V,0.4,2,6,0.5564835651468795,0.7147027760543353,0.8077571436709348,0.15821921090745583,15,30,40,10,0.25
V,0.4,2,7,0.4707774617005906,0.6971039663360383,0.7251831325451741,0.22632650463544773,15,30,40,10,0.25
V,0.4,2,8,0.4419227511877245,0.6638223875841861,0.7682146054375752,0.2218996363964616,15,30,40,10,0.25
V,0.4,2,9,0.5023755251796513,0.7927254067183707,0.7927254067183707,0.2903498815387193,15,30,40,10,0.25
V,0.4,2,10,0.4475419295508287,0.6684152634276337,0.7624039247048043,0.22087333387680497,15,30,40,10,0.25
V,0.4,2,11,0.4020767129241406,0.6419856044898371,0.7077606861807316,0.2399088915656965,15,30,40,10,0.25
V,0.4,2,12,0.48526776261026977,0.6305446212353456,0.6703401915189635,0.14527685862507583,15,30,40,10,0.25
V,0.4,2,13,0.5022568075874102,0.6401823217954378,0.7162884817642629,0.13792551420802757,15,30,40,10,0.25
V,0.4,2,14,0.39541238564493153,0.6429754543459062,0.7174399270270656,0.24756306870097466,15,30,40,10,0.25
V,0.4,2,15,0.48354134248214947,0.6344675059608977,0.7407944451170717,0.15092616347874827,15,30,40,10,0.25
V,0.4,2,16,0.5622286890215297,0.7051798659455895,0.7742711783745987,0.1429511769240598,15,30,40,10,0.25
V,0.4,2,17,0.4998056908550586,0.7313386843663918,0.7313386843663918,0.23153299351133322,15,30,40,10,0.25
V,0.4,2,18,0.40245119870238183,0.7303560614498502,0.7468130507327994,0.3279048627474684,15,30,40,10,0.25
V,0.4,2,19,0.48276795260698224,0.7424966976189277,0.7424966976189277,0.2597287450119454,15,30,40,10,0.25
V,0.4,2,20,0.5497503285860491,0.745699077479848,0.745699077479848,0.19594874889379887,15,30,40,10,0.25
V,0.4,5,1,0.5824748718647353,0.6538467747592436,0.731960161948822,0.07137190289450823,15,30,40,10,0.25
V,0.4,5,2,0.44078426853014097,0.6257331723504744,0.7289435980777327,0.18494890382033347,15,30,40,10,0.25
V,0.4,5,3,0.4173511705793848,0.701260672879532,0.74239693575946,0.28390950230014717,15,30,40,10,0.25
V,0.4,5,4,0.4386867075415706,0.771412642246048,0.8256024229442975,0.3327259347044774,15,30,40,10,0.25
V,0.4,5,5,0.3977609943782942,0.6681112721380716,0.7184138869893689,0.27035027775977744,15,30,40,10,0.25
V,0.4,5,6,0.5600128192203989,0.7463857671061883,0.8027896180033722,0.1863729478857894,15,30,40,10,0.25
V,0.4,5,7,0.5262763226578072,0.7157980935598031,0.7390115410046998,0.18952177090199585,15,30,40,10,0.25
V,0.4,5,8,0.46460066783149145,0.6149811605930587,0.6847286119334404,0.15038049276156729,15,30,40,10,0.25
V,0.4,5,9,0.48113966089771476,0.6423346292531817,0.738667698976807,0.16119496835546698,15,30,40,10,0.25
V,0.4,5,10,0.36902369775797345,0.6811032902102171,0.7337609311163159,0.31207959245224365,15,30,40,10,0.25
