structure,tau,K,seed,shock_every,initial_fitness,final_fitness
V,0.2,10,6,40,0.46030660469293416,0.6066435864356469
V,0.2,10,7,40,0.47801791482903855,0.5939468641312294
V,0.2,10,8,40,0.24573138984870738,0.7103205004428794
V,0.2,10,9,40,0.4768971258411565,0.651219137018474
V,0.2,10,10,40,0.5632789100204415,0.6682854845039031
V,0.2,10,11,40,0.49282418176910586,0.6603380847018012
V,0.2,10,12,40,0.43601084816752134,0.6618481532254673
V,0.2,10,13,40,0.40334900847700894,0.7228058351723685
V,0.2,10,14,40,0.42211684645727204,0.6656028980349131
V,0.2,10,15,40,0.4456318482009635,0.6488772844059599
V,0.2,10,16,40,0.43364594852364574,0.668732541341524
V,0.2,10,17,40,0.5550883912550156,0.6764913229037174
V,0.2,10,18,40,0.5521074632035504,0.6118168087664387
V,0.2,10,19,40,0.5035047785247426,0.7031137001547628
V,0.2,10,20,40,0.5443626743130922,0.6270367431421155
V,0.2,10,21,40,0.41312928690805395,0.69770051433743
V,0.2,10,22,40,0.3871682798248451,0.6844971520004639
V,0.2,10,23,40,0.5027254166419299,0.608677572424358
V,0.2,10,24,40,0.4573643227981401,0.6702039386688536
V,0.2,10,25,40,0.5120556048200416,0.7065683731093415
V,0.2,10,26,40,0.5714777864795404,0.6249681437621247
V,0.2,10,27,40,0.4639214682464838,0.6532752423302185
V,0.2,10,28,40,0.5002011156936149,0.6593472271951464
V,0.2,10,29,40,0.4877157708232732,0.6329006057820831
V,0.2,10,30,40,0.47421117733703094,0.6670816009618594
V,0.5,2,1,40,0.5341365102009529,0.6867822166237704
V,0.5,2,2,40,0.5326515089724646,0.6943229243059925
V,0.5,2,3,40,0.43539696276865847,0.7320030210968447
V,0.5,2,4,40,0.48507140508075536,0.6737003113348284
V,0.5,2,5,40,0.6419092524041596,0.712099240957143
V,0.5,2,6,40,0.44236538981954,0.686219322804766
V,0.5,2,7,40,0.4696986460489755,0.6650916118386988
V,0.5,2,8,40,0.5850333074647817,0.7231360573060677
V,0.5,2,9,40,0.44134072429578386,0.7151772488305347
V,0.5,2,10,40,0.4966340646378672,0.607129063045509
V,0.5,2,11,40,0.5157218655461477,0.7427701881528598
V,0.5,2,12,40,0.47999440565744417,0.6272374082276407
V,0.5,2,13,40,0.5478026653964836,0.7471663978493345
V,0.5,2,14,40,0.5315715918819837,0.612989283585463
V,0.5,2,15,40,0.5519626322408802,0.6658416825595419
V,0.5,2,16,40,0.4767316331167168,0.7473920460415276
V,0.5,2,17,40,0.4938331607557734,0.6382899061409689
V,0.5,2,18,40,0.4650137193437531,0.6964065232429708
V,0.5,2,19,40,0.5563856521950281,0.6318697337055088
V,0.5,2,20,40,0.5123752361668633,0.6467932494978411
V,0.5,2,21,40,0.5518391963550784,0.6809666183973757
