heterogeneity,structure,tau,K,seed,shock_every,final_fitness
skewed,Hy,0.5,5,13,100,0.7116002372569024
skewed,Hy,0.5,5,13,10,0.7479859152491667
skewed,Hy,0.5,5,13,3,0.7196838660244561
skewed,Hy,0.5,5,14,100,0.7669995993362401
skewed,Hy,0.5,5,14,10,0.6476461366932131
skewed,Hy,0.5,5,14,3,0.7169994494908053
skewed,Hy,0.5,5,15,100,0.6846525291059141
skewed,Hy,0.5,5,15,10,0.7554909531936389
skewed,Hy,0.5,5,15,3,0.6848460973514076
skewed,Hy,0.5,5,16,100,0.7202889470781161
skewed,Hy,0.5,5,16,10,0.7320284500056403
skewed,Hy,0.5,5,16,3,0.7088994173422637
skewed,Hy,0.5,5,17,100,0.7529652593058057
skewed,Hy,0.5,5,17,10,0.68031809837688
skewed,Hy,0.5,5,17,3,0.7077315246748614
skewed,Hy,0.5,5,18,100,0.725791657231513
skewed,Hy,0.5,5,18,10,0.6762700333000764
skewed,Hy,0.5,5,18,3,0.7181715542551895
skewed,Hy,0.5,5,19,100,0.7354431606522817
