structure,tau,K,seed,shock_every,reshuffle_frac,initial_fitness,final_fitness,improvement,N,n_agents,T
V,0.5,2,15,100,0.25,0.5696929307342871,0.7104331769822587,0.14074024624797166,15,30,40
V,0.5,2,16,100,0.25,0.4332741233249871,0.7414174308215001,0.30814330749651303,15,30,40
V,0.5,2,17,100,0.25,0.49786634894536613,0.7059334881690432,0.2080671392236771,15,30,40
V,0.5,2,18,100,0.25,0.5905100924985861,0.6812501788614961,0.09074008636290998,15,30,40
V,0.5,2,19,100,0.25,0.513980806784724,0.7644219731698985,0.25044116638517444,15,30,40
V,0.5,2,20,100,0.25,0.40505962813138974,0.6673553180173211,0.2622956898859313,15,30,40
V,0.5,2,21,100,0.25,0.463356858052839,0.7632557101900648,0.2998988521372258,15,30,40
V,0.5,2,22,100,0.25,0.43250419605469226,0.737799156622872,0.30529496056817973,15,30,40
V,0.5,2,23,100,0.25,0.4059256070381493,0.7680571810966691,0.3621315740585198,15,30,40
V,0.5,2,24,100,0.25,0.48358890927466375,0.704579550194217,0.22099064091955328,15,30,40
V,0.5,2,25,100,0.25,0.3532950419202676,0.7381464439431722,0.3848514020229046,15,30,40
V,0.5,2,26,100,0.25,0.44863811481228655,0.7128228596947737,0.2641847448824871,15,30,40
V,0.5,2,27,100,0.25,0.592064069444748,0.7737489813629609,0.1816849119182129,15,30,40
V,0.5,2,28,100,0.25,0.40758905777772686,0.7832528516645012,0.37566379388677434,15,30,40
V,0.5,2,29,100,0.25,0.5899865360542118,0.6655569491863508,0.07557041313213897,15,30,40
V,0.5,2,30,100,0.25,0.4418372812312682,0.7474192519286084,0.30558197069734017,15,30,40
V,0.5,5,1,100,0.25,0.5749301512704108,0.6727980882047161,0.09786793693430529,15,30,40
V,0.5,5,2,100,0.25,0.41730274614975,0.7077933791847227,0.29049063303497275,15,30,40
V,0.5,5,3,100,0.25,0.4053557036019332,0.725208838838413,0.31985313523647985,15,30,40
V,0.5,5,4,100,0.25,0.5716847600542458,0.7411063402674589,0.16942158021321307,15,30,40
V,0.5,5,5,100,0.25,0.46722786516950665,0.7155605408155232,0.24833267564601658,15,30,40
V,0.5,5,6,100,0.25,0.5714439745205055,0.697924328062401,0.12648035354189546,15,30,40
V,0.5,5,7,100,0.25,0.5803169537295779,0.6994637234979326,0.1191467697683547,15,30,40
V,0.5,5,8,100,0.25,0.45499300616473504,0.7700308533680101,0.3150378472032751,15,30,40
