structure,tau,K,seed,initial_fitness,final_fitness,peak_fitness,improvement,steps_to_95pct,n_improvements,n_stalls,N,n_agents,T
H,0.1,2,3,0.4253756414250217,0.4253756414250217,0.4253756414250217,0.0,0,0,40,15,30,40
H,0.1,2,4,0.4133232640760378,0.45394251809630526,0.45394251809630526,0.04061925402026745,16,1,39,15,30,40
H,0.1,2,5,0.4570291229610735,0.4570291229610735,0.4570291229610735,0.0,0,0,40,15,30,40
H,0.1,2,6,0.6035093917083958,0.6035093917083958,0.6035093917083958,0.0,0,0,40,15,30,40
H,0.1,2,7,0.4691808674370616,0.5518961964791405,0.5518961964791405,0.08271532904207884,2,1,39,15,30,40
H,0.1,2,8,0.3980999383856531,0.5202027371175707,0.5202027371175707,0.1221027987319176,36,1,39,15,30,40
H,0.1,2,9,0.43560608259919786,0.43560608259919786,0.43560608259919786,0.0,0,0,40,15,30,40
H,0.1,2,10,0.5060824659706336,0.5060824659706336,0.5060824659706336,0.0,0,0,40,15,30,40
H,0.1,2,11,0.3702841019335547,0.3702841019335547,0.3702841019335547,0.0,0,0,40,15,30,40
H,0.1,2,12,0.5513066661887556,0.5513066661887556,0.5513066661887556,0.0,0,0,40,15,30,40
H,0.1,2,13,0.48226501220659296,0.48226501220659296,0.48226501220659296,0.0,0,0,40,15,30,40
H,0.1,2,14,0.5247497494745208,0.5247497494745208,0.5247497494745208,0.0,0,0,40,15,30,40
H,0.1,2,15,0.4581200341213843,0.4581200341213843,0.4581200341213843,0.0,0,0,40,15,30,40
H,0.1,2,16,0.40327724168114865,0.40327724168114865,0.40327724168114865,0.0,0,0,40,15,30,40
H,0.1,2,17,0.5427161457397649,0.6048095998356176,0.6048095998356176,0.06209345409585265,20,1,39,15,30,40
H,0.1,2,18,0.5384833131490434,0.5384833131490434,0.5384833131490434,0.0,0,0,40,15,30,40
H,0.1,2,19,0.4802765616198989,0.4802765616198989,0.4802765616198989,0.0,0,0,40,15,30,40
H,0.1,2,20,0.46729282646732034,0.46729282646732034,0.46729282646732034,0.0,0,0,40,15,30,40
H,0.1,2,21,0.5746989290843213,0.5746989290843213,0.5746989290843213,0.0,0,0,40,15,30,40
H,0.1,2,22,0.6497779542170071,0.6497779542170071,0.6497779542170071,0.0,0,0,40,15,30,40
H,0.1,2,23,0.6071858097861121,0.6570642857911847,0.6570642857911847,0.04987847600507256,16,1,39,15,30,40
H,0.1,2,24,0.3574008569588486,0.3574008569588486,0.3574008569588486,0.0,0,0,40,15,30,40
H,0.1,2,25,0.44903842780308323,0.44903842780308323,0.44903842780308323,0.0,0,0,40,15,30,40
H,0.1,2,26,0.5720783206639125,0.5720783206639125,0.5720783206639125,0.0,0,0,40,15,30,40
H,0.1,2,27,0.5609801184301969,0.5609801184301969,0.5609801184301969,0.0,0,0,40,15,30,40
H,0.1,2,28,0.4677545064789014,0.4677545064789014,0.4677545064789014,0.0,0,0,40,15,30,40
